name,price,store,url,image
"Bêta-Carotène Vegan - 30 capsules","7,95 €",OfficialVeganShop,https://www.officialveganshop.com/beta-carotene-veganicity-9002.html,https://www.officialveganshop.com/17997-home_default/beta-carotene-veganicity.jpg
"Shampoing Réparateur Vegan - 290ml","32,00 €",OfficialVeganShop,https://www.officialveganshop.com/shampoing-cut-by-fred-reparateur-vegan-16475.html,https://www.officialveganshop.com/22769-home_default/shampoing-cut-by-fred-reparateur-vegan.jpg
"Masque Detox Vegan - 250ml","39,00 €",OfficialVeganShop,https://www.officialveganshop.com/masque-cut-by-fred-detox-vegan-15928.html,https://www.officialveganshop.com/21360-home_default/masque-cut-by-fred-detox-vegan.jpg
"Préservatifs Vegan Ultra Thin - x100","45,50 €",OfficialVeganShop,https://www.officialveganshop.com/preservatif-vegan-ultra-thin-fair-squared-x100-15408.html,https://www.officialveganshop.com/19836-home_default/preservatif-vegan-ultra-thin-fair-squared-x100.jpg
"Préservatifs Vegan Format XL - x100","51,00 €",OfficialVeganShop,https://www.officialveganshop.com/preservatif-vegan-xl-fair-squared-x100-15407.html,https://www.officialveganshop.com/19833-home_default/preservatif-vegan-xl-fair-squared-x100.jpg
"Cappelletti Vegan farcis au Tofu Fumé - 250g","3,90 €",OfficialVeganShop,https://www.officialveganshop.com/cappelletti-vegan-tofu-fume-d-angelo-12504.html,https://www.officialveganshop.com/23817-home_default/cappelletti-vegan-tofu-fume-d-angelo.jpg
"Tofu Fumé - 200g","3,09 €",OfficialVeganShop,https://www.officialveganshop.com/tofu-fume-taifun-200g-10172.html,https://www.officialveganshop.com/15357-home_default/tofu-fume-taifun-200g.jpg
"Tofu Fumé Amandes Sésame - 200g","3,69 €",OfficialVeganShop,https://www.officialveganshop.com/tofu-fume-amandes-sesame-taifun-200g-8910.html,https://www.officialveganshop.com/23816-home_default/tofu-fume-amandes-sesame-taifun-200g.jpg
"Tofu Fumé Black Forest - 200g","3,69 €",OfficialVeganShop,https://www.officialveganshop.com/tofu-fume-black-forest-taifun-200g-9283.html,https://www.officialveganshop.com/15356-home_default/tofu-fume-black-forest-taifun-200g.jpg
"Tofu Fumé Bio - 200g","3,15 €",OfficialVeganShop,https://www.officialveganshop.com/tofu-fume-bio-200g-vantastic-foods-8266.html,https://www.officialveganshop.com/15208-home_default/tofu-fume-bio-200g-vantastic-foods.jpg
"Seitan à la Méditerranéenne Bio - 250g","5,49 €",OfficialVeganShop,https://www.officialveganshop.com/seitan-koro-a-la-mediterraneenne-16168.html,https://www.officialveganshop.com/21918-home_default/seitan-koro-a-la-mediterraneenne.jpg
"Vantastic Seitan Fix - Préparation pour Seitan Grand Format - 750g","8,95 €",OfficialVeganShop,https://www.officialveganshop.com/vantastic-foods-seitan-fix-750g-14480.html,https://www.officialveganshop.com/19861-home_default/vantastic-foods-seitan-fix-750g.jpg
"Vantastic Seitan Fix - Préparation pour Seitan - 250g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/vantastic-foods-seitan-fix-13426.html,https://www.officialveganshop.com/19860-home_default/vantastic-foods-seitan-fix.jpg
"Seitan Steak au Froment avec Sauce Soja - 300g","9,32 €",OfficialVeganShop,https://www.officialveganshop.com/seitan-steak-bertyn-froment-300g-9670.html,https://www.officialveganshop.com/3685-home_default/seitan-steak-bertyn-froment-300g.jpg
"Seitan en tranches - 2 x 125g","4,95 €",OfficialVeganShop,https://www.officialveganshop.com/seitan-tranches-soy-2x125g-8901.html,https://www.officialveganshop.com/18298-home_default/seitan-tranches-soy-2x125g.jpg
"Boisson à l’Avoine - Barista Edition - 1L","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/oatly-barista-edition-avoine-1l-10626.html,https://www.officialveganshop.com/9050-home_default/oatly-barista-edition-avoine-1l.jpg
"Boisson Avoine Biologique - 1L","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/boisson-avoine-bio-oatly-1l-8522.html,https://www.officialveganshop.com/21359-home_default/boisson-avoine-bio-oatly-1l.jpg
"Boisson à l’Avoine - Barista Édition Caramel - 1L","3,60 €",OfficialVeganShop,https://www.officialveganshop.com/oatly-barista-edition-caramel-avoine-16715.html,https://www.officialveganshop.com/23557-home_default/oatly-barista-edition-caramel-avoine.jpg
"Boisson à l’Avoine - Barista Édition Vanille - 1L","3,60 €",OfficialVeganShop,https://www.officialveganshop.com/oatly-barista-edition-vanille-avoine-16714.html,https://www.officialveganshop.com/23556-home_default/oatly-barista-edition-vanille-avoine.jpg
"Boisson à l’Avoine et au Thé Matcha - 1L","3,99 €",OfficialVeganShop,https://www.officialveganshop.com/boisson-avoine-oatly-matcha-16503.html,https://www.officialveganshop.com/22934-home_default/boisson-avoine-oatly-matcha.jpg
"Boisson Soja Fibres - 75cl","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/boisson-soja-fibres-sojade-16487.html,https://www.officialveganshop.com/22861-home_default/boisson-soja-fibres-sojade.jpg
"Boisson Soja Concentrée à Diluer - 50cl","1,97 €",OfficialVeganShop,https://www.officialveganshop.com/boisson-soja-concentree-sojade-15846.html,https://www.officialveganshop.com/21116-home_default/boisson-soja-concentree-sojade.jpg
"Bouteille de Lait de Coco Concentré Sucré - 320g","3,90 €",OfficialVeganShop,https://www.officialveganshop.com/lait-de-coco-concentre-sucre-bouteille-natures-charm-14505.html,https://www.officialveganshop.com/16125-home_default/lait-de-coco-concentre-sucre-bouteille-natures-charm.jpg
"Coulis de Fudge au Cacao & Lait de Coco - 200g","3,85 €",OfficialVeganShop,https://www.officialveganshop.com/sauce-fudge-au-chocolat-coco-natures-charm-13486.html,https://www.officialveganshop.com/13291-home_default/sauce-fudge-au-chocolat-coco-natures-charm.jpg
"Lait de Coco Concentré Sucré - 320g","3,90 €",OfficialVeganShop,https://www.officialveganshop.com/lait-concentre-sucre-vegan-natures-charm-12048.html,https://www.officialveganshop.com/9579-home_default/lait-concentre-sucre-vegan-natures-charm.jpg
"Crème de Coco à Fouetter - 400ml","3,90 €",OfficialVeganShop,https://www.officialveganshop.com/creme-coco-a-fouetter-natures-charm-12783.html,https://www.officialveganshop.com/11718-home_default/creme-coco-a-fouetter-natures-charm.jpg
"Crème de coco bio équitable - 400ml","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/creme-de-coco-bio-equitable-400ml-la-maison-du-coco-8177.html,https://www.officialveganshop.com/17912-home_default/creme-de-coco-bio-equitable-400ml-la-maison-du-coco.jpg
"Crème de Coco à Cuisiner - 400ml","2,49 €",OfficialVeganShop,https://www.officialveganshop.com/creme-coco-a-cuisiner-base-organic-food-14854.html,https://www.officialveganshop.com/17730-home_default/creme-coco-a-cuisiner-base-organic-food.jpg
"So Soja à la Grecque Nature 0% - 400g","3,25 €",OfficialVeganShop,https://www.officialveganshop.com/so-sojade-a-la-grecque-nature-12666.html,https://www.officialveganshop.com/18163-home_default/so-sojade-a-la-grecque-nature.jpg
"So Soja Nature - Dessert Végétal - 4x100g","2,75 €",OfficialVeganShop,https://www.officialveganshop.com/yaourt-sojade-nature-so-soja-4x100g-9723.html,https://www.officialveganshop.com/14854-home_default/yaourt-sojade-nature-so-soja-4x100g.jpg
"Émincés Nature au Soja - 160g","3,99 €",OfficialVeganShop,https://www.officialveganshop.com/eminces-nature-soja-garden-gourmet-14937.html,https://www.officialveganshop.com/19973-home_default/eminces-nature-soja-garden-gourmet.jpg
"Boisson Soja Nature Bio - 1L","2,19 €",OfficialVeganShop,https://www.officialveganshop.com/boisson-soja-nature-lima-1l-8713.html,https://www.officialveganshop.com/17859-home_default/boisson-soja-nature-lima-1l.jpg
"Pain d'Épices Vegan - Nature - 400g","3,20 €",OfficialVeganShop,https://www.officialveganshop.com/pain-d-epices-vegan-your-organic-nature-14325.html,https://www.officialveganshop.com/23280-home_default/pain-d-epices-vegan-your-organic-nature.jpg
"Mousse Nettoyante Bio - Coco-Crème - 50g","10,00 €",OfficialVeganShop,https://www.officialveganshop.com/mousse-nettoyante-coco-creme-savon-stories--50g-9536.html,https://www.officialveganshop.com/13739-home_default/mousse-nettoyante-coco-creme-savon-stories--50g.jpg
"Huile de Coco Bio - 300ml","6,10 €",OfficialVeganShop,https://www.officialveganshop.com/huile-vierge-de-coco-bio-38cl-la-maison-du-coco-7561.html,https://www.officialveganshop.com/18585-home_default/huile-vierge-de-coco-bio-38cl-la-maison-du-coco.jpg
"Lait de Coco - Bio & Équitable - 400ml","2,94 €",OfficialVeganShop,https://www.officialveganshop.com/lait-de-coco-bio--400ml-la-maison-du-coco-7557.html,https://www.officialveganshop.com/13980-home_default/lait-de-coco-bio--400ml-la-maison-du-coco.jpg
"Protéine Vegan Saveur Coco & Choco - 600g","24,90 €",OfficialVeganShop,https://www.officialveganshop.com/proteine-so-shape-coco-choco-15228.html,https://www.officialveganshop.com/19370-home_default/proteine-so-shape-coco-choco.jpg
"Steak Végétal Émincé - 180g","4,99 €",OfficialVeganShop,https://www.officialveganshop.com/planted-steak-bites-16602.html,https://www.officialveganshop.com/23197-home_default/planted-steak-bites.jpg
"Préparation pour Steak Végétal - 200g","7,95 €",OfficialVeganShop,https://www.officialveganshop.com/steak-vegetal-plantjoy-16308.html,https://www.officialveganshop.com/22310-home_default/steak-vegetal-plantjoy.jpg
"Steak Végétal - 120g","4,99 €",OfficialVeganShop,https://www.officialveganshop.com/planted-steak-140g-15878.html,https://www.officialveganshop.com/21201-home_default/planted-steak-140g.jpg
"Steak Végétal - 6x120g","29,80 €",OfficialVeganShop,https://www.officialveganshop.com/planted-steak-6x120g-15567.html,https://www.officialveganshop.com/20370-home_default/planted-steak-6x120g.jpg
"Steak Végétal au Paprika - 160g","5,59 €",OfficialVeganShop,https://www.officialveganshop.com/planted-steak-paprika-16209.html,https://www.officialveganshop.com/22010-home_default/planted-steak-paprika.jpg
"Lardons Végétaux Nature - 2x75g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/lardons-vegetaux-nature-la-vie-11568.html,https://www.officialveganshop.com/18796-home_default/lardons-vegetaux-nature-la-vie.jpg
"Lardons Végétaux Fumés - 2x75g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/lardons-vegetaux-fumes-la-vie-11567.html,https://www.officialveganshop.com/18793-home_default/lardons-vegetaux-fumes-la-vie.jpg
"Sticks Végétaux Épicés - 216g","",OfficialVeganShop,https://www.officialveganshop.com/drumsticks-vegan-vivera-16756.html,https://www.officialveganshop.com/23657-home_default/drumsticks-vegan-vivera.jpg
"Bâtonnets Végétaux Marins - 216g","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/fish-fingers-vegan-vivera-16754.html,https://www.officialveganshop.com/23653-home_default/fish-fingers-vegan-vivera.jpg
"Filets Végétaux Croustillants Sans Poulet - 200g","",OfficialVeganShop,https://www.officialveganshop.com/crispy-chicken-fillets-vegan-vivera-16752.html,https://www.officialveganshop.com/23649-home_default/crispy-chicken-fillets-vegan-vivera.jpg
"Saucisses Végétales Kabanos Ail & Oignon - 160g","3,99 €",OfficialVeganShop,https://www.officialveganshop.com/meatless-onion-garlic-kabanos-sausages-plenty-reasons-16729.html,https://www.officialveganshop.com/23593-home_default/meatless-onion-garlic-kabanos-sausages-plenty-reasons.jpg
"Veggie Almjäger - Saucisses Sèches Végétales Classique - 80g","2,80 €",OfficialVeganShop,https://www.officialveganshop.com/veggie-almjager-classique-handl-tyrol-15700.html,https://www.officialveganshop.com/20663-home_default/veggie-almjager-classique-handl-tyrol.jpg
"Veggie Almjäger - Saucisses Sèches Végétales Piquantes - 80g","2,80 €",OfficialVeganShop,https://www.officialveganshop.com/veggie-almjager-piquant-handl-tyrol-15584.html,https://www.officialveganshop.com/20398-home_default/veggie-almjager-piquant-handl-tyrol.jpg
"Veggie Tyrolini - Bâtons de Saucisses Sèches Végétales Tomate &...","2,99 €",OfficialVeganShop,https://www.officialveganshop.com/veggie-tyrolini-tomates-herbes-handl-tyrol-15529.html,https://www.officialveganshop.com/20255-home_default/veggie-tyrolini-tomates-herbes-handl-tyrol.jpg
"Faux-Cisses à Griller - 100g","3,45 €",OfficialVeganShop,https://www.officialveganshop.com/wheaty-faux-cisses-a-griller-14901.html,https://www.officialveganshop.com/18390-home_default/wheaty-faux-cisses-a-griller.jpg
"Faux-ciutto en Tranches (nouvelle recette) - 100g","7,49 €",OfficialVeganShop,https://www.officialveganshop.com/faux-ciutto-tranches-veggie-deli-13683.html,https://www.officialveganshop.com/13689-home_default/faux-ciutto-tranches-veggie-deli.jpg
"Faux-Cisson Ibérique - 200g","7,50 €",OfficialVeganShop,https://www.officialveganshop.com/wheaty-faux-cisson-iberique-wheaty-8136.html,https://www.officialveganshop.com/19599-home_default/wheaty-faux-cisson-iberique-wheaty.jpg
"Croques au Fauxmage 100% Végétal - 2x90g","5,15 €",OfficialVeganShop,https://www.officialveganshop.com/croques-vegetal-accro-16772.html,https://www.officialveganshop.com/23681-home_default/croques-vegetal-accro.jpg
"Lot de 12x Faux Gras Gaia aux Canneberges - 12x125g","",OfficialVeganShop,https://www.officialveganshop.com/faux-gras-canneberge-gaia-125g-x12-14419.html,https://www.officialveganshop.com/15847-home_default/faux-gras-canneberge-gaia-125g-x12.jpg
"Boursin Végétal- Ail et Fines Herbes- 150G","3,99 €",OfficialVeganShop,https://www.officialveganshop.com/boursin-vegetal-ail-et-fines-herbes-13557.html,https://www.officialveganshop.com/21974-home_default/boursin-vegetal-ail-et-fines-herbes.jpg
"Box Mini Penne à la Bolognaise Végétale & Haché Végétal - 300g","4,70 €",OfficialVeganShop,https://www.officialveganshop.com/box-mini-penne-bolo-vegetale-hari-and-co-16015.html,https://www.officialveganshop.com/21534-home_default/box-mini-penne-bolo-vegetale-hari-and-co.jpg
"Haché Végétal de Soja - 175g","2,23 €",OfficialVeganShop,https://www.officialveganshop.com/mince-vegan-vivera-16755.html,https://www.officialveganshop.com/23655-home_default/mince-vegan-vivera.jpg
"Effiloché Végétal sans Boeuf - 200g","",OfficialVeganShop,https://www.officialveganshop.com/effiloche-vegetal-saveur-boeuf-redefine-meat-16067.html,https://www.officialveganshop.com/21681-home_default/effiloche-vegetal-saveur-boeuf-redefine-meat.jpg
"Émietté Végétal à la Tomate - 120g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/emiette-vegetal-tomate-senfas-14566.html,https://www.officialveganshop.com/17961-home_default/emiette-vegetal-tomate-senfas.jpg"
"Tranches Végétales Fondantes RICHES MONTS (19 €/kg)","3.95 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-fondantes-riches-monts-3176582087399,
"Tranches saveur Emmental 100% végétal VIOLIFE (11 €/kg)","2.20 €",Carrefour,https://www.carrefour.fr/p/tranches-saveur-emmental-100-vegetal-violife-5202390024214,
"Tranches saveur Cheddar 100% végétal VIOLIFE (11 €/kg)","2.32 €",Carrefour,https://www.carrefour.fr/p/tranches-saveur-cheddar-100-vegetal-violife-5202390015885,
"Jambon le Supérieur conservation sans nitrite FLEURY MICHON (16 €/kg)","2.35 €",Carrefour,https://www.carrefour.fr/p/jambon-le-superieur-conservation-sans-nitrite-fleury-michon-3302740047367,
"Tranches Végétales Lentilles Corail FLEURY MICHON (19 €/kg)","2.29 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-lentilles-corail-fleury-michon-3302740087059,
"Tranches Végétales de Pois Chiches FLEURY MICHON (19 €/kg)","2.29 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-de-pois-chiches-fleury-michon-3302740087042,
"Tranches Végétales haricots Blancs FLEURY MICHON (19 €/kg)","2.29 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-haricots-blancs-fleury-michon-3302740087103,
"Tranches Végétales Haricots Rouges FLEURY MICHON (19 €/kg)","2.29 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-haricots-rouges-fleury-michon-3302740100796,
"Tranches Végétales Lentilles Corail FLEURY MICHON (17 €/kg)","3.19 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-lentilles-corail-fleury-michon-3302740102868,
"Tranches végétales saveur piment NURISHH (16 €/kg)","1.95 €",Carrefour,https://www.carrefour.fr/p/tranches-vegetales-saveur-piment-nurishh-3073781178838,
"Fromage Raclette Alternative 100% Végétale VIOLIFE (17 €/kg)","3.49 €",Carrefour,https://www.carrefour.fr/p/fromage-raclette-alternative-100-vegetale-violife-5202390031861,
"Pastrami au Poivre Tranches Fines FLEURY MICHON (35 €/kg)","3.59 €",Carrefour,https://www.carrefour.fr/p/pastrami-au-poivre-tranches-fines-fleury-michon-3095758097010,
"Substitut d'oeuf végétarien ALNATURA","0,99 €",Carrefour,https://www.carrefour.fr/p/substitut-d-oeuf-vegetarien-alnatura-0000040045252,https://media.carrefour.fr/medias/1a47b767dbf3464697a92905932f274c/p_200x200/00000040045252_A1N1_s01.jpeg
"Sans Saucisson Vegan - “SinSalchichón” - 110g","4,90 €",OfficialVeganShop,https://www.officialveganshop.com/sinsalchichon-rollito-vegano-12591.html,https://www.officialveganshop.com/11150-large_default/sinsalchichon-rollito-vegano.jpg
"Jambon Végétal Nature - 120g","2,70 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-nature-la-vie-14159.html,https://www.officialveganshop.com/22210-large_default/jambon-vegetal-nature-la-vie.jpg
"Tranches Végétales Sans Jambon Cru Vegan - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-jambon-cru-valsoia-vegan-14128.html,https://www.officialveganshop.com/19584-large_default/tranches-jambon-cru-valsoia-vegan.jpg
"Bacon végétal Fumé - 120g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/bacon-vegetal-la-vie-fume-12959.html,https://www.officialveganshop.com/18760-large_default/bacon-vegetal-la-vie-fume.jpg
"Jambon Végétal Fumé - 120g","2,89 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-fume-la-vie-14160.html,https://www.officialveganshop.com/22209-large_default/jambon-vegetal-fume-la-vie.jpg
"Tranches Végétales Sans Speck Vegan - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-speck-valsoia-vegan-14129.html,https://www.officialveganshop.com/20772-large_default/tranches-speck-valsoia-vegan.jpg
"Tranches Végétales Fondantes Vegan - Goût Nature - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-nature-13246.html,https://www.officialveganshop.com/12771-large_default/new-roots-raclette-vegan-nature.jpg
"Jambon Végétal façon Chiffonnade - 90g","3,80 €",OfficialVeganShop,https://www.officialveganshop.com/jambon-vegetal-chiffonnade-la-vie-14991.html,https://www.officialveganshop.com/18582-large_default/jambon-vegetal-chiffonnade-la-vie.jpg
"Tranches Végétales Sans Bresaola - 90g","3,75 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-bresaola-valsoia-vegan-14236.html,https://www.officialveganshop.com/19269-large_default/tranches-bresaola-valsoia-vegan.jpg
"Fumé en tranches - 200g","3,45 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-fume-violife-200g-10701.html,https://www.officialveganshop.com/5575-large_default/tranches-fume-violife-200g.jpg
"Végé tranches fumées Bio - 100g","2,64 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-fumees-wheaty-100g-8927.html,https://www.officialveganshop.com/19593-large_default/vege-tranches-fumees-wheaty-100g.jpg
"Tranches Fondantes Vegan - Goût Poivre Noir - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-poivre-noir-13197.html,https://www.officialveganshop.com/16397-large_default/new-roots-raclette-vegan-poivre-noir.jpg
"Tranches Fondantes Végétales - 200g","5,27 €",OfficialVeganShop,https://www.officialveganshop.com/tranches-vegetales-fondantes-richesmonts-15566.html,https://www.officialveganshop.com/22917-large_default/tranches-vegetales-fondantes-richesmonts.jpg
"Sans Saucisse Sèche Fumée Vegan - “SinFuet Fumé” - 110g","4,90 €",OfficialVeganShop,https://www.officialveganshop.com/sin-fuet-fume-rollito-vegano-12312.html,https://www.officialveganshop.com/10246-large_default/sin-fuet-fume-rollito-vegano.jpg
"Alternative Végétale à Fondre - 500g","12,74 €",OfficialVeganShop,https://www.officialveganshop.com/fondue-vegan-new-roots-11784.html,https://www.officialveganshop.com/23712-large_default/fondue-vegan-new-roots.jpg
"Végé tranches à l'Italienne Bio - 100g","2,76 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-italienne-wheaty-100g-8928.html,https://www.officialveganshop.com/23742-large_default/vege-tranches-italienne-wheaty-100g.jpg"
"Tranches Végétales sans Pepperoni - 100g","2,55 €",OfficialVeganShop,https://www.officialveganshop.com/meatless-pepperoni-plenty-reasons-100g-14454.html,https://www.officialveganshop.com/15990-large_default/meatless-pepperoni-plenty-reasons-100g.jpg
"Tranches Séchées à la Milanaise sans Bresaola - 60g","2,69 €",OfficialVeganShop,https://www.officialveganshop.com/vege-tranches-sechees-italian-style-wheaty-12444.html,https://www.officialveganshop.com/20955-large_default/vege-tranches-sechees-italian-style-wheaty.jpg
"Tranches Végétales sans Salami - 100g","2,55 €",OfficialVeganShop,https://www.officialveganshop.com/meatless-salami-plenty-reasons-100g-14453.html,https://www.officialveganshop.com/15987-large_default/meatless-salami-plenty-reasons-100g.jpg
"Tranches Fondantes Vegan - Goût Piment & Ail - 200g","6,20 €",OfficialVeganShop,https://www.officialveganshop.com/new-roots-raclette-vegan-piment-ail-200g-14231.html,https://www.officialveganshop.com/15159-large_default/new-roots-raclette-vegan-piment-ail-200g.jpg"